,Park Name,Cause of Death,DeathCategory,Intent,Outcome,Sex,Age Range,Activity,date,latlong,latitude,longitude,Weather
10,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving ,2007-03-06,"41.1384391,-74.91102148570056",41.1384391,-74.91102148570056,
11,Gateway National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related,2007-03-07,"40.598478850000006,-73.85792711726249",40.598478850000006,-73.85792711726249,
12,Colorado National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving ,2007-03-14,"39.05113275,-108.69794551344532",39.05113275,-108.69794551344532,
13,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,0-14,Driving ,2007-03-14,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
14,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Hiking,2007-03-19,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
15,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Hiking,2007-03-19,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
16,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Other,2007-03-23,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
17,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Other,2007-03-23,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
18,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Vessel Related,2007-03-27,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
19,Glen Canyon National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving ,2007-03-29,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
20,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related,2007-03-31,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
21,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,Not Reported,Not Reported,2007-04-02,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
22,Olympic National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related,2007-04-05,"47.786532449999996,-123.53605033085455",47.78653245,-123.53605033085456,
23,Glen Canyon National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving ,2007-04-06,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
24,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported,2007-04-08,"48.80834845,-121.40621496202702",48.80834845,-121.40621496202702,
25,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Fishing,2007-04-10,"41.4613522,-124.04809558473124",41.4613522,-124.04809558473124,
26,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving ,2007-04-14,"36.4702428,-117.08839086763231",36.4702428,-117.08839086763231,
27,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving ,2007-04-15,"35.634220049999996,-83.40236602525079",35.63422005,-83.40236602525079,
28,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing,2007-04-19,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
29,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing,2007-04-23,"63.23166155,-151.04055543225257",63.23166155,-151.04055543225255,
30,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving ,2007-04-23,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
31,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving ,2007-04-23,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
32,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing,2007-04-30,"43.81056675,-110.64879477714322",43.81056675,-110.64879477714322,
33,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing,2007-04-30,"43.81056675,-110.64879477714322",43.81056675,-110.64879477714322,
34,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving ,2007-05-03,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
35,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving ,2007-05-03,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
36,Big Thicket National Preserve,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-05-14,"30.243261500000003,-94.45796144157939",30.243261500000003,-94.4579614415794,
37,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported,2007-05-15,"37.8499275,-122.5177518",37.8499275,-122.5177518,
38,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing,2007-05-16,"63.23166155,-151.04055543225257",63.23166155,-151.04055543225255,
39,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing,2007-05-16,"63.23166155,-151.04055543225257",63.23166155,-151.04055543225255,
40,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Not Reported,2007-05-16,"37.8499275,-122.5177518",37.8499275,-122.5177518,
41,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing,2007-05-17,"63.23166155,-151.04055543225257",63.23166155,-151.04055543225255,
42,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing,2007-05-17,"63.23166155,-151.04055543225257",63.23166155,-151.04055543225255,
43,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Female,55-64,Not Reported,2007-05-17,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
44,Yosemite National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Not Reported,2007-05-19,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
45,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-05-21,"35.231221,-75.54195983251559",35.231221,-75.54195983251559,
46,Gulf Islands National Seashore,Vessel Incident ,Other Transportation,Unintentional,Fatal injury,Female,35-44,Vessel Related,2007-05-27,"30.2369736,-88.68042953504445",30.2369736,-88.68042953504445,
47,Olympic National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related,2007-05-28,"47.786532449999996,-123.53605033085455",47.78653245,-123.53605033085456,
48,Haleakala National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Male,0-14,Bicycling,2007-05-29,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
49,Acadia National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,55-64,Not Reported,2007-06-01,"44.356311500000004,-68.21547874304889",44.3563115,-68.21547874304889,
50,Curecanti National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported,2007-06-02,"38.45244285,-107.36947129148112",38.45244285,-107.36947129148112,
51,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related,2007-06-03,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
52,Chickasaw National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming,2007-06-03,"34.459272799999994,-97.00878489247835",34.459272799999994,-97.00878489247836,
53,Great Smoky Mountains National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-06-04,"35.634220049999996,-83.40236602525079",35.63422005,-83.40236602525079,
54,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Canyoneering,2007-06-04,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
55,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported,2007-06-08,"37.3247408,-113.0048035752838",37.3247408,-113.0048035752838,
56,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,45-54,Not Reported,2007-06-09,"37.8499275,-122.5177518",37.8499275,-122.5177518,
57,Cape Cod National Seashore,Undetermined,Undetermined,Undetermined,Fatal injury,Male,55-64,Playing Sports,2007-06-09,"41.842563150000004,-69.95218307243829",41.84256315,-69.95218307243829,
58,Lake Meredith National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-06-10,"35.6005129,-101.70908397882152",35.6005129,-101.70908397882152,
59,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing,2007-06-10,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
60,Lake Mead National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Vessel Related,2007-06-14,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
61,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming,2007-06-16,"38.07053155,-122.91761219342156",38.07053155,-122.91761219342156,
62,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing,2007-06-16,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
63,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Hiking,2007-06-16,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
64,Grand Teton National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving ,2007-06-16,"43.81056675,-110.64879477714322",43.81056675,-110.64879477714322,
65,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,Not Reported,Not Reported,2007-06-16,"37.8499275,-122.5177518",37.8499275,-122.5177518,
66,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving ,2007-06-17,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
67,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Climbing,2007-06-18,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
68,Whiskeytown National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Vessel Related,2007-06-22,"40.8272999,-122.32621187881867",40.8272999,-122.32621187881868,
69,Apostle Islands National Lakeshore,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related,2007-06-22,"46.93749575,-90.58241535263556",46.93749575,-90.58241535263556,
70,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming,2007-07-01,"35.231221,-75.54195983251559",35.231221,-75.54195983251559,
71,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming,2007-07-04,"35.231221,-75.54195983251559",35.231221,-75.54195983251559,
72,Delaware Water Gap National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Not Reported,2007-07-05,"41.1384391,-74.91102148570056",41.1384391,-74.91102148570056,
73,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2007-07-05,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
74,Buffalo National River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-07-06,"36.040131,-93.30984129466174",36.040131,-93.30984129466174,
75,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming,2007-07-07,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
76,Glen Canyon National Recreation Area,Poisoning - Carbon monoxide,Poisoning,Unintentional,Fatal injury,Female,0-14,Swimming,2007-07-07,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
77,Channel Islands National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Not Reported,2007-07-10,"33.96637215,-120.09542036416883",33.96637215,-120.09542036416885,
78,Yosemite National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported,2007-07-11,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
79,National Capital Parks-East,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving ,2007-07-13,"None,None",,,
80,Colonial National Historical Park,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Swimming,2007-07-19,"None,None",,,
81,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming,2007-07-26,"35.231221,-75.54195983251559",35.231221,-75.54195983251559,
82,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Female,55-64,Not Reported,2007-07-28,"48.80834845,-121.40621496202702",48.80834845,-121.40621496202702,
83,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported,2007-08-02,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
84,Badlands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving ,2007-08-04,"43.52710585,-102.36166289567404",43.52710585,-102.36166289567404,
85,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-08-05,"41.1384391,-74.91102148570056",41.1384391,-74.91102148570056,
86,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming,2007-08-06,"35.231221,-75.54195983251559",35.231221,-75.54195983251559,
87,Wind Cave National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving ,2007-08-07,"43.5788651,-103.47085320691701",43.5788651,-103.470853206917,
88,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related,2007-08-11,"38.19280805,-81.07260934089561",38.19280805,-81.07260934089561,
89,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related,2007-08-12,"41.6752532,-75.05523065122534",41.6752532,-75.05523065122534,
90,Yosemite National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Female,65+,Not Reported,2007-08-14,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
91,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving ,2007-08-16,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
92,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64,Driving ,2007-08-16,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
93,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,65+,Driving ,2007-08-16,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
94,Lake Roosevelt National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related,2007-08-17,"48.331587049999996,-118.17131269924732",48.33158705,-118.17131269924732,
95,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-08-19,"41.6752532,-75.05523065122534",41.6752532,-75.05523065122534,
96,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Female,Not Reported,Not Reported,2007-08-19,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
97,Glen Canyon National Recreation Area,Firearm,Other,Unintentional,Fatal injury,Male,Not Reported,Hunting,2007-08-19,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
98,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Not Reported,2007-08-21,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
99,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related,2007-08-23,"35.231221,-75.54195983251559",35.231221,-75.54195983251559,
100,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,15-24,Vessel Related,2007-08-24,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
101,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related,2007-08-25,"38.07053155,-122.91761219342156",38.07053155,-122.91761219342156,
102,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Not Reported,Not Reported,Vessel Related,2007-08-25,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
103,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving ,2007-09-01,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
104,Lake Roosevelt National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related,2007-09-04,"48.331587049999996,-118.17131269924732",48.33158705,-118.17131269924732,
105,Yellowstone National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related,2007-09-07,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
106,Yellowstone National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related,2007-09-07,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
107,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Bicycling,2007-09-08,"32.0071549,-90.8585141",32.0071549,-90.8585141,
108,Glen Echo Park,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Swimming,2007-09-12,"38.7011622,-90.2978917",38.7011622,-90.2978917,
109,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related,2007-09-19,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
110,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving ,2007-09-19,"32.0071549,-90.8585141",32.0071549,-90.8585141,
111,Biscayne National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Diving - Scuba,2007-09-23,"25.503122349999998,-80.23484963198766",25.50312235,-80.23484963198766,
112,Haleakala National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Female,65+,Bicycling,2007-09-26,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
113,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,55-64,Vessel Related,2007-09-28,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
114,Yellowstone National Park,Fall,Fall,Unintentional,Fatal injury,Female,25-34,Not Reported,2007-09-28,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
115,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related,2007-09-29,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
116,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Swimming,2007-09-29,"37.8756699,-81.0775981",37.8756699,-81.0775981,
117,New River Gorge National River,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Not Reported,2007-09-29,"37.8756699,-81.0775981",37.8756699,-81.0775981,
118,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying,2007-09-30,"58.5049844,-155.08962259876455",58.5049844,-155.08962259876455,
119,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying,2007-09-30,"58.5049844,-155.08962259876455",58.5049844,-155.08962259876455,
120,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying,2007-09-30,"58.5049844,-155.08962259876455",58.5049844,-155.08962259876455,
121,Katmai National Park & Preserve,Aircraft Incident ,Other Transportation,Unintentional,Fatal injury,Not Reported,Not Reported,Flying,2007-09-30,"58.5049844,-155.08962259876455",58.5049844,-155.08962259876455,
122,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related,2007-10-05,"38.19280805,-81.07260934089561",38.19280805,-81.07260934089561,
123,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming,2007-10-05,"41.1384391,-74.91102148570056",41.1384391,-74.91102148570056,
124,Haleakala National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported,2007-10-06,"20.69913335,-156.1324300755678",20.69913335,-156.1324300755678,
125,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Not Reported,2007-10-08,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
126,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Female,0-14,Not Reported,2007-10-09,"36.307854750000004,-112.29289603702432",36.30785475,-112.29289603702432,
127,Gila Cliff Dwellings National Monument,Undetermined,Undetermined,Undetermined,Fatal injury,Male,25-34,Not Reported,2007-10-14,"33.2271975,-108.2731875042007",33.2271975,-108.2731875042007,
128,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65+,Driving ,2007-10-19,"32.0071549,-90.8585141",32.0071549,-90.8585141,
129,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving ,2007-10-22,"32.0071549,-90.8585141",32.0071549,-90.8585141,
130,Cape Lookout National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related,2007-11-06,"34.83077695,-76.34206699520786",34.83077695,-76.34206699520786,
131,Yosemite National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Male,35-44,Not Reported,2007-11-11,"37.83930035,-119.51646348068644",37.83930035,-119.51646348068644,
132,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving ,2007-11-23,"36.147757150000004,-81.71509781328461",36.14775715,-81.71509781328461,
133,Yellowstone National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving ,2007-11-25,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
134,Yellowstone National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34,Driving ,2007-11-25,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
135,Yellowstone National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving ,2007-11-25,"44.6200885,-110.56068933143061",44.6200885,-110.5606893314306,
136,Rocky Mountain National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported,2007-11-27,"40.3553915,-105.71769566830672",40.3553915,-105.71769566830672,
137,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving ,2007-12-08,"38.9269178,-76.9281543",38.9269178,-76.9281543,
138,Mount Rainier National Park,Avalanche,Environmental,Unintentional,Fatal injury,Male,15-24,Snowshoeing,2007-12-18,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
139,Mount Rainier National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Not Reported,2007-12-18,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
140,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,25-34,Driving ,2007-12-29,"36.4702428,-117.08839086763231",36.4702428,-117.08839086763231,
141,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Not Reported,2007-12-29,"38.9269178,-76.9281543",38.9269178,-76.9281543,
142,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving ,2008-01-05,"32.0071549,-90.8585141",32.0071549,-90.8585141,
143,Biscayne National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related,2008-01-26,"25.503122349999998,-80.23484963198766",25.50312235,-80.23484963198766,
144,Sequoia & Kings Canyon National Parks,Avalanche,Environmental,Unintentional,Fatal injury,Male,35-44,Skiing,2008-01-28,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
145,Sequoia & Kings Canyon National Parks,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Not Reported,2008-01-29,"47.97030315,24.098091413707028",47.97030315,24.098091413707028,
146,Chickamauga & Chattanooga National Military Park,Horseback riding incident,Other Transportation,Unintentional,Fatal injury,Female,55-64,Horseback (or mule) riding,2008-01-30,"34.8711497,-85.2902472",34.8711497,-85.2902472,
147,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving ,2008-02-08,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
148,Lake Mead National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Not Reported,35-44,Diving - Scuba,2008-02-09,"35.883757,-114.6901201257536",35.883757,-114.6901201257536,
